"X","title","parent_asin","categories","cat1","cat2","cat3","cat4","cat5","cat6"
13,"The Eco-Friendly Bamboo Dish Brush Set for ** Kitchen Cleaning with features: ","B01000013","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
14," for ** Air Purifier with features: ","B01000014","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
15,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted blanket with features: ","B01000015","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
16," for **  **The ""Breathe Easy"" Air Purifier** with features: ","B01000016","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
17,"The ""Sleep Well"" Weighted Blanket for ** Weighted Blanket with features: ","B01000017","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
18,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000018","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
19,"The ""Sleep Sanctuary"" Weighted Blanket for ** Weighted Blanket with features: ","B01000019","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
20,"The ""SmartClean"" Automatic Toilet Bowl Cleaner for ** Automatic Toilet Bowl Cleaner with features: ","B01000020","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
21,"The ""Zen-Zone"" Aromatherapy Diffuser & Humidifier for ** Essential Oil Diffuser & Humidifier with features: ","B01000021","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
22," for ** **The Breathe Easy Air Purifier** with features: ","B01000022","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
23," for ** Air Purifier with features: ","B01000023","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
24,"**AromaBloom Essential Oil Diffuser** for ** Ultrasonic Essential Oil Diffuser with features: ","B01000024","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
25," for **  **""The Zen Pillow""** with features: ","B01000025","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
26,"The AromaBliss Essential Oil Diffuser** for ** Ultrasonic Essential Oil Diffuser with features: ","B01000026","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
27,"**The Smart Air Purifier for Allergy Sufferers** for ** Air Purifier with features: ","B01000027","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
28,"The Smart Air Purifier Pro for ** Air Purifier with features: ","B01000028","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
29,"**The Purify+ Air Purifier** for ** Air Purifier with features: ","B01000029","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
30,"** for **  **""The Essential Sleep Bundle""** with features: ","B01000030","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
31,"The ""Air Purifier Pro"" by BreatheEasy for ** Air Purifier with features: ","B01000031","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
32," for ** **Smart Air Purifier** with features: ","B01000032","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
33,"The ""ZenZone"" Aromatherapy Diffuser & Essential Oil Set for ** Aromatherapy Diffuser & Essential Oil Set with features: ","B01000033","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
34,"The ""ZenZone"" Aromatherapy Diffuser for ** Ultrasonic Essential Oil Diffuser with features: ","B01000034","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
35,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000035","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
36," for **  Smart Air Purifier with UV-C Light with features: ","B01000036","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
37,"The SleepWell Pillow for ** Memory Foam Pillow with features: ","B01000037","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
38," for ** **Smart Air Purifier with Advanced Filtration System** with features: ","B01000038","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
39,"The Sleep Serenity Sound Machine for ** White Noise Machine with features: ","B01000039","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
40,"The SleepWell Pillow for **  Memory Foam Pillow with features: ","B01000040","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
41,"The Eco-Smart Multi-Surface Cleaner for ** Multi-Surface Cleaning Spray with features: ","B01000041","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
42," for ** **Smart Air Purifier** with features: ","B01000042","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
43,"Smart Air Purifier with Customizable Filtration System for ** Air Purifier with features: ","B01000043","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
44,"Smart Air Purifier with HEPA Filtration and Voice Control for ** Air Purifier with features: ","B01000044","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
45,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000045","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
46,"The Smart Hydration Tracker Bottle for ** Reusable Water Bottle with Smart Features with features: ","B01000046","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
47,"The Serenity Sleep Mask for ** Sleep Mask with features: ","B01000047","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
48,"The ""Smart Shower"" - A Revolutionary Water Conservation System for ** Smart Home Device, Water Conservation System with features: ","B01000048","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
49,"The ""Zen-Zone"" Aromatherapy Diffuser & Humidifier for ** Essential Oil Diffuser & Humidifier with features: ","B01000049","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
50,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000050","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
51,"The ""Zen Zone"" Aromatherapy Diffuser for ** Essential Oil Diffuser with features: ","B01000051","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
52,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000052","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
53,"The Breathe Easy Air Purifier for ** Air Purifier with features: ","B01000053","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
54,"**The SleepWell Pillow** for ** Memory Foam Pillow with features: ","B01000054","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
55," for ** **Smart Air Purifier with Advanced Filtration System** with features: ","B01000055","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
56,"The ""Smart Air Purifier Pro"" for ** Air Purifier with features: ","B01000056","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
57,"The SleepWell Sleep Mask -  Your Gateway to Deep, Restful Sleep for ** Sleep Mask with features: ","B01000057","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
58,"Smart Air Purifier with Customizable Filtration System for ** Air Purifier with features: ","B01000058","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
59,"Breathe Easy, Live Healthy for ** Air Purifier with features: ","B01000059","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
60,"The Eco-Friendly All-Purpose Cleaner for ** All-purpose cleaning spray with features: ","B01000060","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
61," for ** **Air Purifier** with features: ","B01000061","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
62,"**The SleepWell Pillow** for **  Memory Foam Pillow with features: ","B01000062","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
63,"**The Smart Sleep Sound Machine - Your Personal Oasis for Restful Nights** for ** Sleep Aid Device with features: ","B01000063","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
64,"The ""ZenZone"" Aromatherapy Diffuser for ** Essential Oil Diffuser with features: ","B01000064","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
65,"Smart Air Purifier for Sensitive Individuals for ** Smart Air Purifier with features: ","B01000065","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
66,"The ""AromaBliss"" Essential Oil Diffuser for ** Ultrasonic Essential Oil Diffuser with features: ","B01000066","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
67,"**The Sleep Serenity Aromatherapy Diffuser** for ** Essential Oil Diffuser with features: ","B01000067","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
68,"**The Sleep Well Essential Oil Diffuser** for ** Essential Oil Diffuser & Humidifier with features: ","B01000068","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
69,"The Sleep Serenity Pillow for ** Memory Foam Pillow with features: ","B01000069","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
70," for ** Smart Air Purifier with Integrated Humidifier with features: ","B01000070","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
71,"The Aromatherapy Diffuser & Humidifier Combo for ** Essential Oil Diffuser & Humidifier with features: ","B01000071","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
72,"The SleepWell Aromatherapy Diffuser for ** Essential Oil Diffuser with features: ","B01000072","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
73,"The ""Zen Breathe"" Air Purifier for ** HEPA Air Purifier with Smart Features with features: ","B01000073","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
74,"The ""Clean & Clear"" Multi-Surface Disinfectant Spray for ** Multi-Surface Disinfectant Spray with features: ","B01000074","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
75,"**The Sleep Sanctuary -  Weighted Blanket for Adults** for ** Weighted Blanket with features: ","B01000075","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
76,"The ""Zen Breeze"" Essential Oil Diffuser for ** Ultrasonic Aromatherapy Diffuser with features: ","B01000076","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
77," for ** Air Purifier with features: ","B01000077","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
78,"The ""Calm & Clean"" Aromatherapy Diffuser for **  Aromatherapy Diffuser with features: ","B01000078","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
79," for **  **Smart Air Purifier Pro** with features: ","B01000079","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
80," for ** **Smart Air Purifier with Voice Control** with features: ","B01000080","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
81,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000081","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
82,"The ""AromaZen"" Essential Oil Diffuser for ** Ultrasonic Essential Oil Diffuser with features: ","B01000082","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
83,"The ""Sleep Soundly"" White Noise Machine for ** Sleep Aid Device with features: ","B01000083","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
84,"Breathe Easy Air Purifier** for ** Air Purifier with features: ","B01000084","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
85," for ** Smart Air Purifier with features: ","B01000085","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
86,"The ""ZenZone"" Aromatherapy Diffuser for ** Essential Oil Diffuser with features: ","B01000086","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
87,"The Aroma-Therapy Diffuser & Essential Oil Set for **  Essential Oil Diffuser & Essential Oil Set with features: ","B01000087","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
88,"The Smart Hydration System - A Revolutionary Approach to Staying Hydrated for ** Smart Water Bottle with Built-in Hydration Tracker and Motivational Features with features: ","B01000088","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
89,"Your Gateway to Restful Nights for ** Weighted Blanket with features: ","B01000089","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
90,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000090","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
91,"**The Sleep Serenity Essential Oil Diffuser** for **  Essential Oil Diffuser with features: ","B01000091","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
92,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000092","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
93,"**The AromaBliss Essential Oil Diffuser** for **  **Aromatherapy Diffuser** with features: ","B01000093","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
94,"**The ""ZenZone"" Aromatherapy Diffuser** for ** Essential Oil Diffuser with features: ","B01000094","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
95,"The Serenity Sleep Mask for ** Sleep Mask with features: ","B01000095","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
96,"The Sleep Sanctuary Weighted Blanket for ** Weighted Blanket with features: ","B01000096","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
97,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000097","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
98,"The ""Zen Zone"" Aromatherapy Diffuser & Essential Oil Set for **  Aromatherapy Diffuser & Essential Oil Set with features: ","B01000098","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
99,"**AromaBliss Essential Oil Diffuser** for ** Ultrasonic Essential Oil Diffuser with features: ","B01000099","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
